Polynomials,Inverse Distribution,N,Distribution,Max/Min,Distribution Modulo 2,Max/Min Mod2
11_power_4_,"[1001, 2004, 3027, 4116, 5365, 6972, 9374]",500,"[171, 166, 158, 181, 176, 198, 174]",1.2531645569620253,"[171, 166, 158, 181, 176, 198, 174]",1.2531645569620253
11_power_4_,"[1001, 2004, 3027, 4116, 5365, 6972, 9374]",1000,"[593, 616, 623, 611, 618, 641, 646]",1.0893760539629005,"[593, 616, 623, 611, 618, 641, 646]",1.0893760539629005
11_power_4_,"[1001, 2004, 3027, 4116, 5365, 6972, 9374]",1500,"[1261, 1320, 1291, 1331, 1309, 1333, 1293]",1.0570975416336241,"[1261, 1320, 1291, 1331, 1309, 1333, 1293]",1.0570975416336241
11_power_4_,"[1001, 2004, 3027, 4116, 5365, 6972, 9374]",2000,"[2239, 2249, 2192, 2277, 2187, 2265, 2214]",1.0411522633744856,"[2239, 2249, 2192, 2277, 2187, 2265, 2214]",1.0411522633744856
11_power_4_,"[1001, 2004, 3027, 4116, 5365, 6972, 9374]",2500,"[3351, 3413, 3347, 3390, 3300, 3451, 3369]",1.0457575757575757,"[3351, 3413, 3347, 3390, 3300, 3451, 3369]",1.0457575757575757
11_power_4_,"[1001, 2004, 3027, 4116, 5365, 6972, 9374]",3000,"[4711, 4788, 4724, 4723, 4654, 4849, 4723]",1.041899441340782,"[4711, 4788, 4724, 4723, 4654, 4849, 4723]",1.041899441340782
11_power_4_,"[1001, 2004, 3027, 4116, 5365, 6972, 9374]",3500,"[6222, 6383, 6253, 6291, 6202, 6402, 6191]",1.0340817315457922,"[6222, 6383, 6253, 6291, 6202, 6402, 6191]",1.0340817315457922
11_power_4_,"[1001, 2004, 3027, 4116, 5365, 6972, 9374]",4000,"[7960, 8142, 8007, 8131, 7911, 8145, 8003]",1.0295790671217293,"[7960, 8142, 8007, 8131, 7911, 8145, 8003]",1.0295790671217293
