Polynomials,Inverse Distribution,N,Distribution,Max/Min,Distribution Modulo 2,Max/Min Mod2
6_power_3_,"[1002, 2017, 3084, 4277, 5729, 7715]",500,"[196, 181, 213, 194, 199, 224]",1.2375690607734806,"[113, 88, 106, 100, 110, 113, 83, 93, 107, 94, 89, 111]",1.3614457831325302
6_power_3_,"[1002, 2017, 3084, 4277, 5729, 7715]",1000,"[691, 670, 719, 703, 681, 700]",1.0731343283582089,"[361, 343, 359, 360, 353, 346, 330, 327, 360, 343, 328, 354]",1.1039755351681957
6_power_3_,"[1002, 2017, 3084, 4277, 5729, 7715]",1500,"[1439, 1416, 1482, 1451, 1432, 1423]",1.0466101694915255,"[729, 701, 738, 749, 706, 703, 710, 715, 744, 702, 726, 720]",1.0684736091298146
6_power_3_,"[1002, 2017, 3084, 4277, 5729, 7715]",2000,"[2458, 2412, 2533, 2494, 2427, 2425]",1.0501658374792704,"[1248, 1195, 1258, 1285, 1194, 1203, 1210, 1217, 1275, 1209, 1233, 1222]",1.076214405360134
6_power_3_,"[1002, 2017, 3084, 4277, 5729, 7715]",2500,"[3761, 3680, 3782, 3724, 3722, 3658]",1.0338983050847457,"[1915, 1830, 1889, 1895, 1825, 1824, 1846, 1850, 1893, 1829, 1897, 1834]",1.049890350877193
6_power_3_,"[1002, 2017, 3084, 4277, 5729, 7715]",3000,"[5272, 5185, 5308, 5181, 5193, 5149]",1.0308797824820353,"[2661, 2560, 2652, 2634, 2568, 2566, 2611, 2625, 2656, 2547, 2625, 2583]",1.0447585394581862
6_power_3_,"[1002, 2017, 3084, 4277, 5729, 7715]",3500,"[7035, 6897, 7073, 6887, 6921, 6888]",1.0270074052562799,"[3539, 3428, 3529, 3480, 3443, 3432, 3496, 3469, 3544, 3407, 3478, 3456]",1.0402113296154976
6_power_3_,"[1002, 2017, 3084, 4277, 5729, 7715]",4000,"[8970, 8897, 9008, 8899, 8922, 8817]",1.021662697062493,"[4524, 4430, 4481, 4486, 4452, 4391, 4446, 4467, 4527, 4413, 4470, 4426]",1.0309724436347074
