Polynomials,Inverse Distribution,N,Distribution,Max/Min,Distribution Modulo 2,Max/Min Mod2
6_power_2_,"[1021, 2178, 3690, 6086]",500,"[141, 144, 150, 140]",1.0714285714285714,"[78, 72, 78, 69, 63, 72, 72, 71]",1.2380952380952381
6_power_2_,"[1021, 2178, 3690, 6086]",1000,"[489, 507, 512, 515]",1.0531697341513293,"[254, 258, 258, 260, 235, 249, 254, 255]",1.1063829787234043
6_power_2_,"[1021, 2178, 3690, 6086]",1500,"[1048, 1086, 1088, 1081]",1.0381679389312977,"[538, 547, 548, 555, 510, 539, 540, 526]",1.088235294117647
6_power_2_,"[1021, 2178, 3690, 6086]",2000,"[1762, 1844, 1835, 1823]",1.0465380249716232,"[903, 924, 930, 928, 859, 920, 905, 895]",1.0826542491268918
6_power_2_,"[1021, 2178, 3690, 6086]",2500,"[2701, 2761, 2753, 2713]",1.0222139948167346,"[1374, 1386, 1386, 1370, 1327, 1375, 1367, 1343]",1.0444611906556143
6_power_2_,"[1021, 2178, 3690, 6086]",3000,"[3798, 3873, 3888, 3806]",1.0236966824644549,"[1930, 1930, 1929, 1934, 1868, 1943, 1959, 1872]",1.0487152034261242
6_power_2_,"[1021, 2178, 3690, 6086]",3500,"[5056, 5139, 5184, 5049]",1.0267379679144386,"[2549, 2573, 2569, 2562, 2507, 2566, 2615, 2487]",1.0514676316847607
6_power_2_,"[1021, 2178, 3690, 6086]",4000,"[6514, 6553, 6609, 6522]",1.0145839729812711,"[3273, 3297, 3279, 3306, 3241, 3256, 3330, 3216]",1.0354477611940298
