Polynomials,Inverse Distribution,N,Distribution,Max/Min,Distribution Modulo 2,Max/Min Mod2
2_power_2_,"[1007, 2056, 3195, 4490, 6043, 8027]",500,"[362, 358, 365, 363, 366, 368]",1.0279329608938548,"[190, 168, 195, 180, 188, 179, 172, 190, 170, 183, 178, 189]",1.1607142857142858
2_power_2_,"[1007, 2056, 3195, 4490, 6043, 8027]",1000,"[1273, 1276, 1288, 1290, 1293, 1290]",1.0157109190887668,"[663, 623, 655, 639, 653, 645, 610, 653, 633, 651, 640, 645]",1.0868852459016394
2_power_2_,"[1007, 2056, 3195, 4490, 6043, 8027]",1500,"[2685, 2704, 2705, 2713, 2705, 2709]",1.0104283054003724,"[1383, 1351, 1350, 1339, 1343, 1366, 1302, 1353, 1355, 1374, 1362, 1343]",1.0622119815668203
2_power_2_,"[1007, 2056, 3195, 4490, 6043, 8027]",2000,"[4556, 4594, 4626, 4576, 4581, 4626]",1.0153643546971027,"[2326, 2304, 2300, 2279, 2267, 2321, 2230, 2290, 2326, 2297, 2314, 2305]",1.04304932735426
2_power_2_,"[1007, 2056, 3195, 4490, 6043, 8027]",2500,"[6920, 6954, 6963, 6936, 6931, 6959]",1.00621387283237,"[3495, 3492, 3489, 3459, 3435, 3489, 3425, 3462, 3474, 3477, 3496, 3470]",1.0207299270072994
2_power_2_,"[1007, 2056, 3195, 4490, 6043, 8027]",3000,"[9683, 9763, 9801, 9757, 9688, 9795]",1.0121863058969327,"[4889, 4888, 4887, 4894, 4806, 4941, 4794, 4875, 4914, 4863, 4882, 4854]",1.0306633291614518
2_power_2_,"[1007, 2056, 3195, 4490, 6043, 8027]",3500,"[12858, 12999, 13066, 13023, 12902, 13039]",1.0161766993311556,"[6468, 6532, 6534, 6518, 6407, 6556, 6390, 6467, 6532, 6505, 6495, 6483]",1.0259780907668232
2_power_2_,"[1007, 2056, 3195, 4490, 6043, 8027]",4000,"[16554, 16683, 16742, 16656, 16613, 16678]",1.011356771777214,"[8311, 8359, 8381, 8359, 8273, 8384, 8243, 8324, 8361, 8297, 8340, 8294]",1.0171054227829674
