Polynomials,Inverse Distribution,N,Distribution,Max/Min,Distribution Modulo 2,Max/Min Mod2
neg_5_power_2_,"[250, 498, 744, 984, 1219, 1447]",500,"[377, 411, 401, 411, 401, 406]",1.090185676392573,"[203, 208, 209, 210, 201, 189, 174, 203, 192, 201, 200, 217]",1.2471264367816093
neg_5_power_2_,"[250, 498, 744, 984, 1219, 1447]",1000,"[1392, 1453, 1471, 1433, 1449, 1389]",1.0590352771778258,"[726, 727, 762, 729, 721, 656, 666, 726, 709, 704, 728, 733]",1.1615853658536586
neg_5_power_2_,"[250, 498, 744, 984, 1219, 1447]",1500,"[3025, 3036, 3094, 3049, 3048, 2911]",1.0628649948471316,"[1557, 1504, 1551, 1538, 1525, 1436, 1468, 1532, 1543, 1511, 1523, 1475]",1.0842618384401115
neg_5_power_2_,"[250, 498, 744, 984, 1219, 1447]",2000,"[5193, 5178, 5270, 5197, 5168, 4991]",1.0559006211180124,"[2652, 2563, 2623, 2620, 2601, 2475, 2541, 2615, 2647, 2577, 2567, 2516]",1.0715151515151515
neg_5_power_2_,"[250, 498, 744, 984, 1219, 1447]",2500,"[7941, 7831, 7974, 7860, 7848, 7559]",1.0549014419896812,"[4019, 3885, 4001, 3929, 3969, 3751, 3922, 3946, 3973, 3931, 3879, 3808]",1.071447613969608
neg_5_power_2_,"[250, 498, 744, 984, 1219, 1447]",3000,"[11147, 11048, 11144, 11061, 11056, 10664]",1.0452925731432858,"[5634, 5461, 5618, 5530, 5607, 5290, 5513, 5587, 5526, 5531, 5449, 5374]",1.0650283553875237
neg_5_power_2_,"[250, 498, 744, 984, 1219, 1447]",3500,"[14805, 14730, 14874, 14786, 14699, 14283]",1.0413778617937408,"[7466, 7338, 7469, 7393, 7445, 7092, 7339, 7392, 7405, 7393, 7254, 7191]",1.0531584884376763
neg_5_power_2_,"[250, 498, 744, 984, 1219, 1447]",4000,"[18979, 18889, 19032, 18958, 18840, 18311]",1.0393752389274207,"[9545, 9421, 9509, 9447, 9546, 9119, 9434, 9468, 9523, 9511, 9294, 9192]",1.0468253097927405
