Polynomials,Inverse Distribution,N,Distribution,Max/Min,Distribution Modulo 2,Max/Min Mod2
neg_6_power_3_,"[250, 500, 750, 999, 1248, 1495]",500,"[139, 162, 159, 164, 160, 155]",1.1798561151079137,"[79, 73, 71, 81, 84, 73, 60, 89, 88, 83, 76, 82]",1.4833333333333334
neg_6_power_3_,"[250, 500, 750, 999, 1248, 1495]",1000,"[521, 565, 584, 562, 559, 547]",1.1209213051823417,"[264, 285, 280, 287, 277, 273, 257, 280, 304, 275, 282, 274]",1.1828793774319066
neg_6_power_3_,"[250, 500, 750, 999, 1248, 1495]",1500,"[1115, 1195, 1229, 1169, 1182, 1147]",1.1022421524663677,"[562, 611, 597, 599, 585, 568, 553, 584, 632, 570, 597, 579]",1.1428571428571428
neg_6_power_3_,"[250, 500, 750, 999, 1248, 1495]",2000,"[1939, 2008, 2078, 1988, 2026, 2000]",1.071686436307375,"[974, 1005, 1014, 1023, 1008, 1002, 965, 1003, 1064, 965, 1018, 998]",1.1025906735751296
neg_6_power_3_,"[250, 500, 750, 999, 1248, 1495]",2500,"[2964, 3071, 3115, 3033, 3133, 3040]",1.0570175438596492,"[1501, 1533, 1527, 1519, 1571, 1502, 1463, 1538, 1588, 1514, 1562, 1538]",1.0854408749145592
neg_6_power_3_,"[250, 500, 750, 999, 1248, 1495]",3000,"[4210, 4284, 4373, 4285, 4355, 4305]",1.0387173396674585,"[2115, 2154, 2151, 2142, 2222, 2120, 2095, 2130, 2222, 2143, 2133, 2185]",1.0606205250596659
