Polynomials,Inverse Distribution,N,Distribution,Max/Min,Distribution Modulo 2,Max/Min Mod2
neg_2_power_3_,"[250, 500, 750, 1000, 1250, 1499]",500,"[213, 210, 238, 220, 212, 252]",1.2,"[115, 98, 127, 105, 103, 128, 98, 112, 111, 115, 109, 124]",1.3061224489795917
neg_2_power_3_,"[250, 500, 750, 1000, 1250, 1499]",1000,"[766, 803, 819, 808, 784, 834]",1.0887728459530026,"[396, 396, 419, 390, 391, 429, 370, 407, 400, 418, 393, 405]",1.1594594594594594
neg_2_power_3_,"[250, 500, 750, 1000, 1250, 1499]",1500,"[1631, 1679, 1673, 1658, 1667, 1709]",1.0478234212139792,"[833, 829, 856, 803, 839, 844, 798, 850, 817, 855, 828, 865]",1.0839598997493733
neg_2_power_3_,"[250, 500, 750, 1000, 1250, 1499]",2000,"[2853, 2900, 2863, 2866, 2906, 2873]",1.018576936558009,"[1456, 1437, 1437, 1413, 1459, 1448, 1397, 1463, 1426, 1453, 1447, 1425]",1.047244094488189
neg_2_power_3_,"[250, 500, 750, 1000, 1250, 1499]",2500,"[4383, 4351, 4350, 4349, 4316, 4368]",1.0155236329935124,"[2234, 2158, 2175, 2167, 2158, 2167, 2149, 2193, 2175, 2182, 2158, 2201]",1.0395532805956258
neg_2_power_3_,"[250, 500, 750, 1000, 1250, 1499]",3000,"[6093, 6062, 6106, 6088, 6124, 6153]",1.0150115473441108,"[3107, 3006, 3053, 3064, 3063, 3067, 2986, 3056, 3053, 3024, 3061, 3086]",1.0405224380442062
