Polynomials,Inverse Distribution,N,Distribution,Max/Min,Distribution Modulo 2,Max/Min Mod2
neg_2_power_2_,"[250, 500, 748, 994, 1238, 1478]",500,"[378, 384, 399, 408, 380, 379]",1.0793650793650793,"[196, 194, 198, 214, 193, 185, 182, 190, 201, 194, 187, 194]",1.1758241758241759
neg_2_power_2_,"[250, 500, 748, 994, 1238, 1478]",1000,"[1356, 1386, 1371, 1408, 1433, 1356]",1.0567846607669618,"[701, 695, 679, 714, 718, 681, 655, 691, 692, 694, 715, 675]",1.0961832061068701
neg_2_power_2_,"[250, 500, 748, 994, 1238, 1478]",1500,"[2847, 2992, 2888, 2961, 2950, 2923]",1.050930804355462,"[1450, 1517, 1445, 1469, 1492, 1465, 1397, 1475, 1443, 1492, 1458, 1458]",1.085898353614889
neg_2_power_2_,"[250, 500, 748, 994, 1238, 1478]",2000,"[4875, 5153, 4987, 5000, 5049, 4973]",1.0570256410256411,"[2467, 2569, 2506, 2478, 2542, 2516, 2408, 2584, 2481, 2522, 2507, 2457]",1.0730897009966778
neg_2_power_2_,"[250, 500, 748, 994, 1238, 1478]",2500,"[7445, 7734, 7592, 7609, 7616, 7530]",1.0388179986568167,"[3806, 3839, 3784, 3769, 3829, 3816, 3639, 3895, 3808, 3840, 3787, 3714]",1.0703489969771915
neg_2_power_2_,"[250, 500, 748, 994, 1238, 1478]",3000,"[10547, 10789, 10664, 10639, 10598, 10673]",1.0229449132454727,"[5362, 5387, 5340, 5235, 5304, 5372, 5185, 5402, 5324, 5404, 5294, 5301]",1.0422372227579557
neg_2_power_2_,"[250, 500, 748, 994, 1238, 1478]",3500,"[14080, 14372, 14216, 14190, 14193, 14246]",1.0207386363636364,"[7131, 7207, 7115, 6970, 7109, 7165, 6949, 7165, 7101, 7220, 7084, 7081]",1.0389984170384228
neg_2_power_2_,"[250, 500, 748, 994, 1238, 1478]",4000,"[18099, 18396, 18291, 18161, 18217, 18230]",1.0164097463948285,"[9160, 9199, 9130, 8978, 9102, 9129, 8939, 9197, 9161, 9183, 9115, 9101]",1.0290860275198568
