Polynomials,Inverse Distribution,N,Distribution,Max/Min,Distribution Modulo 2,Max/Min Mod2
2_power_3_,"[1001, 2006, 3028, 4088, 5219, 6471, 7920, 9693]",500,"[455, 505, 493, 486, 471, 490, 469, 470]",1.10989010989011,"[232, 254, 247, 235, 245, 235, 234, 239, 223, 251, 246, 251, 226, 255, 235, 231]",1.1434977578475336
2_power_3_,"[1001, 2006, 3028, 4088, 5219, 6471, 7920, 9693]",1000,"[1643, 1722, 1707, 1708, 1702, 1718, 1659, 1708]",1.048082775410834,"[834, 858, 839, 864, 843, 840, 830, 856, 809, 864, 868, 844, 859, 878, 829, 852]",1.0852904820766378
2_power_3_,"[1001, 2006, 3028, 4088, 5219, 6471, 7920, 9693]",1500,"[3572, 3593, 3506, 3550, 3586, 3612, 3548, 3584]",1.0302338847689674,"[1827, 1800, 1721, 1765, 1791, 1782, 1761, 1785, 1745, 1793, 1785, 1785, 1795, 1830, 1787, 1799]",1.063335270191749
2_power_3_,"[1001, 2006, 3028, 4088, 5219, 6471, 7920, 9693]",2000,"[6021, 6046, 5974, 6078, 6101, 6003, 6115, 6104]",1.023602276531637,"[3067, 2998, 2956, 3037, 3071, 2988, 3015, 3061, 2954, 3048, 3018, 3041, 3030, 3015, 3100, 3043]",1.0494245091401488
2_power_3_,"[1001, 2006, 3028, 4088, 5219, 6471, 7920, 9693]",2500,"[9073, 9108, 9072, 9101, 9209, 9103, 9234, 9169]",1.0178571428571428,"[4593, 4535, 4504, 4558, 4616, 4555, 4582, 4613, 4480, 4573, 4568, 4543, 4593, 4548, 4652, 4556]",1.0383928571428571
2_power_3_,"[1001, 2006, 3028, 4088, 5219, 6471, 7920, 9693]",3000,"[12728, 12723, 12795, 12784, 12943, 12798, 12934, 12809]",1.0172915192957637,"[6440, 6349, 6378, 6420, 6484, 6410, 6432, 6424, 6288, 6374, 6417, 6364, 6459, 6388, 6502, 6385]",1.034033078880407
2_power_3_,"[1001, 2006, 3028, 4088, 5219, 6471, 7920, 9693]",3500,"[16953, 16907, 17072, 17076, 17181, 17092, 17123, 17053]",1.0162063050807357,"[8540, 8442, 8496, 8581, 8594, 8543, 8544, 8604, 8413, 8465, 8576, 8495, 8587, 8549, 8579, 8449]",1.0227029597052182
2_power_3_,"[1001, 2006, 3028, 4088, 5219, 6471, 7920, 9693]",4000,"[21799, 21705, 21855, 21792, 21981, 21901, 21968, 21920]",1.0127159640635799,"[10965, 10824, 10912, 10925, 10973, 11000, 10971, 11000, 10834, 10881, 10943, 10867, 11008, 10901, 10997, 10920]",1.0169992609017
