Polynomials,Inverse Distribution,N,Distribution,Max/Min,Distribution Modulo 2,Max/Min Mod2
neg_6_power_3_,"[250, 500, 750, 999, 1248, 1495]",500,"[139, 162, 159, 164, 160, 155]",1.1798561151079137,"[139, 162, 159, 164, 160, 155]",1.1798561151079137
neg_6_power_3_,"[250, 500, 750, 999, 1248, 1495]",1000,"[521, 565, 584, 562, 559, 547]",1.1209213051823417,"[521, 565, 584, 562, 559, 547]",1.1209213051823417
neg_6_power_3_,"[250, 500, 750, 999, 1248, 1495]",1500,"[1115, 1195, 1229, 1169, 1182, 1147]",1.1022421524663677,"[1115, 1195, 1229, 1169, 1182, 1147]",1.1022421524663677
neg_6_power_3_,"[250, 500, 750, 999, 1248, 1495]",2000,"[1939, 2008, 2078, 1988, 2026, 2000]",1.071686436307375,"[1939, 2008, 2078, 1988, 2026, 2000]",1.071686436307375
neg_6_power_3_,"[250, 500, 750, 999, 1248, 1495]",2500,"[2964, 3071, 3115, 3033, 3133, 3040]",1.0570175438596492,"[2964, 3071, 3115, 3033, 3133, 3040]",1.0570175438596492
neg_6_power_3_,"[250, 500, 750, 999, 1248, 1495]",3000,"[4210, 4284, 4373, 4285, 4355, 4305]",1.0387173396674585,"[4210, 4284, 4373, 4285, 4355, 4305]",1.0387173396674585
neg_6_power_3_,"[250, 500, 750, 999, 1248, 1495]",3500,"[5601, 5758, 5821, 5684, 5817, 5749]",1.0392787002321013,"[5601, 5758, 5821, 5684, 5817, 5749]",1.0392787002321013
neg_6_power_3_,"[250, 500, 750, 999, 1248, 1495]",4000,"[7215, 7344, 7438, 7414, 7447, 7377]",1.032155232155232,"[7215, 7344, 7438, 7414, 7447, 7377]",1.032155232155232
