Polynomials,Inverse Distribution,N,Distribution,Max/Min,Distribution Modulo 2,Max/Min Mod2
5_power_3_,"[1001, 2014, 3070, 4228, 5591, 7357, 9950]",500,"[271, 283, 279, 274, 290, 280, 287]",1.070110701107011,"[135, 138, 144, 143, 145, 148, 145, 136, 145, 135, 131, 145, 132, 142]",1.1297709923664123
5_power_3_,"[1001, 2014, 3070, 4228, 5591, 7357, 9950]",1000,"[965, 979, 978, 973, 975, 965, 970]",1.0145077720207254,"[476, 486, 498, 496, 492, 493, 486, 489, 493, 480, 477, 483, 472, 484]",1.055084745762712
5_power_3_,"[1001, 2014, 3070, 4228, 5591, 7357, 9950]",1500,"[2071, 2088, 2048, 2076, 2063, 2079, 2045]",1.0210268948655257,"[1040, 1030, 1034, 1045, 1054, 1050, 1012, 1031, 1058, 1014, 1031, 1009, 1029, 1033]",1.0485629335976214
5_power_3_,"[1001, 2014, 3070, 4228, 5591, 7357, 9950]",2000,"[3541, 3516, 3463, 3533, 3449, 3551, 3538]",1.029573789504204,"[1806, 1758, 1710, 1808, 1746, 1765, 1743, 1735, 1758, 1753, 1725, 1703, 1786, 1795]",1.0616559013505578
5_power_3_,"[1001, 2014, 3070, 4228, 5591, 7357, 9950]",2500,"[5299, 5331, 5313, 5289, 5214, 5373, 5320]",1.0304948216340621,"[2690, 2650, 2662, 2694, 2634, 2700, 2637, 2609, 2681, 2651, 2595, 2580, 2673, 2683]",1.0465116279069768
5_power_3_,"[1001, 2014, 3070, 4228, 5591, 7357, 9950]",3000,"[7477, 7515, 7508, 7377, 7376, 7539, 7483]",1.0220986984815619,"[3770, 3767, 3743, 3722, 3721, 3746, 3747, 3707, 3748, 3765, 3655, 3655, 3793, 3736]",1.0377564979480165
5_power_3_,"[1001, 2014, 3070, 4228, 5591, 7357, 9950]",3500,"[9956, 9963, 10015, 9841, 9785, 10011, 9961]",1.0235053653551354,"[5015, 4997, 5012, 4909, 4943, 5008, 5005, 4941, 4966, 5003, 4932, 4842, 5003, 4956]",1.0357290375877737
5_power_3_,"[1001, 2014, 3070, 4228, 5591, 7357, 9950]",4000,"[12830, 12679, 12840, 12628, 12552, 12829, 12777]",1.022944550669216,"[6467, 6368, 6427, 6312, 6288, 6417, 6450, 6363, 6311, 6413, 6316, 6264, 6412, 6327]",1.0324074074074074
