Polynomials,Inverse Distribution,N,Distribution,Max/Min,Distribution Modulo 2,Max/Min Mod2
neg_2_power_3_,"[250, 500, 750, 1000, 1250, 1499]",500,"[213, 210, 238, 220, 212, 252]",1.2,"[213, 210, 238, 220, 212, 252]",1.2
neg_2_power_3_,"[250, 500, 750, 1000, 1250, 1499]",1000,"[766, 803, 819, 808, 784, 834]",1.0887728459530026,"[766, 803, 819, 808, 784, 834]",1.0887728459530026
neg_2_power_3_,"[250, 500, 750, 1000, 1250, 1499]",1500,"[1631, 1679, 1673, 1658, 1667, 1709]",1.0478234212139792,"[1631, 1679, 1673, 1658, 1667, 1709]",1.0478234212139792
neg_2_power_3_,"[250, 500, 750, 1000, 1250, 1499]",2000,"[2853, 2900, 2863, 2866, 2906, 2873]",1.018576936558009,"[2853, 2900, 2863, 2866, 2906, 2873]",1.018576936558009
neg_2_power_3_,"[250, 500, 750, 1000, 1250, 1499]",2500,"[4383, 4351, 4350, 4349, 4316, 4368]",1.0155236329935124,"[4383, 4351, 4350, 4349, 4316, 4368]",1.0155236329935124
neg_2_power_3_,"[250, 500, 750, 1000, 1250, 1499]",3000,"[6093, 6062, 6106, 6088, 6124, 6153]",1.0150115473441108,"[6093, 6062, 6106, 6088, 6124, 6153]",1.0150115473441108
neg_2_power_3_,"[250, 500, 750, 1000, 1250, 1499]",3500,"[8118, 8119, 8128, 8093, 8118, 8164]",1.0087730137155566,"[8118, 8119, 8128, 8093, 8118, 8164]",1.0087730137155566
neg_2_power_3_,"[250, 500, 750, 1000, 1250, 1499]",4000,"[10354, 10346, 10433, 10457, 10438, 10436]",1.0107287840711385,"[10354, 10346, 10433, 10457, 10438, 10436]",1.0107287840711385
