Polynomials,Inverse Distribution,N,Distribution,Max/Min,Distribution Modulo 2,Max/Min Mod2
3_power_3_,"[1001, 2009, 3042, 4133, 5337, 6739, 8491]",500,"[420, 448, 420, 394, 450, 452, 432]",1.1472081218274113,"[221, 228, 214, 204, 243, 220, 219, 199, 220, 206, 190, 207, 232, 213]",1.2789473684210526
3_power_3_,"[1001, 2009, 3042, 4133, 5337, 6739, 8491]",1000,"[1497, 1487, 1525, 1482, 1537, 1510, 1530]",1.0371120107962213,"[750, 750, 764, 733, 778, 750, 779, 747, 737, 761, 749, 759, 760, 751]",1.0627557980900408
3_power_3_,"[1001, 2009, 3042, 4133, 5337, 6739, 8491]",1500,"[3178, 3163, 3196, 3182, 3226, 3180, 3178]",1.0199177995573823,"[1563, 1583, 1627, 1582, 1635, 1563, 1582, 1615, 1580, 1569, 1600, 1591, 1617, 1596]",1.0460652591170825
3_power_3_,"[1001, 2009, 3042, 4133, 5337, 6739, 8491]",2000,"[5414, 5367, 5429, 5389, 5427, 5371, 5432]",1.0121110490031675,"[2689, 2676, 2745, 2685, 2740, 2659, 2705, 2725, 2691, 2684, 2704, 2687, 2712, 2727]",1.0323429860849944
3_power_3_,"[1001, 2009, 3042, 4133, 5337, 6739, 8491]",2500,"[8187, 8109, 8180, 8152, 8190, 8066, 8206]",1.017356806347632,"[4102, 4038, 4147, 4074, 4108, 4014, 4099, 4085, 4071, 4033, 4078, 4082, 4052, 4107]",1.0331340308918784
3_power_3_,"[1001, 2009, 3042, 4133, 5337, 6739, 8491]",3000,"[11459, 11505, 11456, 11446, 11458, 11397, 11585]",1.0164955690093884,"[5761, 5728, 5803, 5704, 5759, 5682, 5782, 5698, 5777, 5653, 5742, 5699, 5715, 5803]",1.0265345834070405
3_power_3_,"[1001, 2009, 3042, 4133, 5337, 6739, 8491]",3500,"[15175, 15285, 15185, 15310, 15256, 15153, 15369]",1.0142546030489012,"[7627, 7625, 7704, 7672, 7653, 7540, 7663, 7548, 7660, 7481, 7638, 7603, 7613, 7706]",1.0300761930223232
3_power_3_,"[1001, 2009, 3042, 4133, 5337, 6739, 8491]",4000,"[19503, 19661, 19516, 19612, 19576, 19416, 19712]",1.015245158632056,"[9790, 9832, 9856, 9822, 9794, 9641, 9855, 9713, 9829, 9660, 9790, 9782, 9775, 9857]",1.0224043149050928
