Polynomials,Inverse Distribution,N,Distribution,Max/Min,Distribution Modulo 2,Max/Min Mod2
5_power_2_,"[1018, 2146, 3550, 5573, 9196]",500,"[143, 146, 158, 155, 156]",1.1048951048951048,"[79, 72, 86, 71, 79, 64, 74, 72, 84, 77]",1.34375
5_power_2_,"[1018, 2146, 3550, 5573, 9196]",1000,"[530, 533, 545, 536, 537]",1.028301886792453,"[279, 263, 278, 265, 265, 251, 270, 267, 271, 272]",1.1115537848605577
5_power_2_,"[1018, 2146, 3550, 5573, 9196]",1500,"[1115, 1115, 1147, 1152, 1129]",1.0331838565022422,"[582, 558, 579, 579, 553, 533, 557, 568, 573, 576]",1.0919324577861163
5_power_2_,"[1018, 2146, 3550, 5573, 9196]",2000,"[1873, 1922, 1953, 1921, 1918]",1.0427122263747999,"[960, 958, 982, 970, 947, 913, 964, 971, 951, 971]",1.0755750273822562
5_power_2_,"[1018, 2146, 3550, 5573, 9196]",2500,"[2845, 2930, 2913, 2865, 2877]",1.0298769771528997,"[1444, 1465, 1461, 1444, 1425, 1401, 1465, 1452, 1421, 1452]",1.0456816559600286
5_power_2_,"[1018, 2146, 3550, 5573, 9196]",3000,"[3989, 4065, 4077, 4020, 4058]",1.022060666833793,"[2018, 2039, 2029, 2040, 2012, 1971, 2026, 2048, 1980, 2046]",1.039066463723998
5_power_2_,"[1018, 2146, 3550, 5573, 9196]",3500,"[5313, 5432, 5434, 5386, 5362]",1.0227743271221532,"[2667, 2726, 2714, 2713, 2671, 2646, 2706, 2720, 2673, 2691]",1.0302343159486016
5_power_2_,"[1018, 2146, 3550, 5573, 9196]",4000,"[6820, 6950, 6937, 6918, 6864]",1.0190615835777126,"[3422, 3478, 3472, 3479, 3414, 3398, 3472, 3465, 3439, 3450]",1.0238375515008828
