Polynomials,Inverse Distribution,N,Distribution,Max/Min,Distribution Modulo 2,Max/Min Mod2
neg_3_power_2_,"[250, 499, 746, 991, 1231, 1468]",500,"[301, 338, 330, 344, 327, 344]",1.1428571428571428,"[160, 170, 167, 168, 168, 166, 141, 168, 163, 176, 159, 178]",1.2624113475177305
neg_3_power_2_,"[250, 499, 746, 991, 1231, 1468]",1000,"[1159, 1169, 1166, 1213, 1206, 1179]",1.0465918895599655,"[612, 595, 586, 598, 624, 560, 547, 574, 580, 615, 582, 619]",1.1407678244972577
neg_3_power_2_,"[250, 499, 746, 991, 1231, 1468]",1500,"[2481, 2482, 2517, 2559, 2519, 2526]",1.0314389359129383,"[1271, 1259, 1267, 1267, 1284, 1224, 1210, 1223, 1250, 1292, 1235, 1302]",1.0760330578512396
neg_3_power_2_,"[250, 499, 746, 991, 1231, 1468]",2000,"[4229, 4239, 4331, 4321, 4277, 4277]",1.024119177110428,"[2159, 2122, 2167, 2148, 2162, 2090, 2070, 2117, 2164, 2173, 2115, 2187]",1.0565217391304347
neg_3_power_2_,"[250, 499, 746, 991, 1231, 1468]",2500,"[6428, 6427, 6507, 6584, 6498, 6476]",1.0244281935584254,"[3273, 3211, 3234, 3269, 3297, 3187, 3155, 3216, 3273, 3315, 3201, 3289]",1.0507131537242471
neg_3_power_2_,"[250, 499, 746, 991, 1231, 1468]",3000,"[9048, 9046, 9194, 9180, 9120, 9152]",1.016360822462967,"[4602, 4511, 4569, 4581, 4607, 4563, 4446, 4535, 4625, 4599, 4513, 4589]",1.0402609086819614
neg_3_power_2_,"[250, 499, 746, 991, 1231, 1468]",3500,"[12077, 12137, 12229, 12233, 12118, 12213]",1.0129171151776104,"[6112, 6029, 6083, 6118, 6086, 6093, 5965, 6108, 6146, 6115, 6032, 6120]",1.0303436714165968
neg_3_power_2_,"[250, 499, 746, 991, 1231, 1468]",4000,"[15451, 15625, 15737, 15691, 15527, 15706]",1.0185101287942528,"[7831, 7776, 7838, 7885, 7766, 7837, 7620, 7849, 7899, 7806, 7761, 7869]",1.0366141732283465
