Polynomials,Inverse Distribution,N,Distribution,Max/Min,Distribution Modulo 2,Max/Min Mod2
neg_5_power_3_,"[250, 500, 750, 1000, 1248, 1496]",500,"[185, 218, 196, 210, 192, 211]",1.1783783783783783,"[99, 109, 94, 104, 102, 100, 86, 109, 102, 106, 90, 111]",1.2906976744186047
neg_5_power_3_,"[250, 500, 750, 1000, 1248, 1496]",1000,"[691, 749, 717, 733, 721, 762]",1.1027496382054993,"[354, 367, 352, 362, 365, 362, 337, 382, 365, 371, 356, 400]",1.1869436201780414
neg_5_power_3_,"[250, 500, 750, 1000, 1248, 1496]",1500,"[1506, 1565, 1523, 1503, 1552, 1578]",1.0499001996007984,"[756, 781, 767, 739, 796, 746, 750, 784, 756, 764, 756, 832]",1.1258457374830853
neg_5_power_3_,"[250, 500, 750, 1000, 1248, 1496]",2000,"[2593, 2654, 2586, 2600, 2611, 2680]",1.0363495746326372,"[1304, 1333, 1302, 1294, 1328, 1288, 1289, 1321, 1284, 1306, 1283, 1392]",1.0849571317225253
neg_5_power_3_,"[250, 500, 750, 1000, 1248, 1496]",2500,"[3924, 3980, 3925, 3959, 3934, 3966]",1.0142711518858307,"[1988, 1965, 1957, 1989, 2004, 1935, 1936, 2015, 1968, 1970, 1930, 2031]",1.0523316062176167
neg_5_power_3_,"[250, 500, 750, 1000, 1248, 1496]",3000,"[5488, 5607, 5573, 5581, 5537, 5598]",1.0216836734693877,"[2778, 2769, 2800, 2831, 2788, 2743, 2710, 2838, 2773, 2750, 2749, 2855]",1.0535055350553506
