Polynomials,Inverse Distribution,N,Distribution,Max/Min,Distribution Modulo 2,Max/Min Mod2
neg_5_power_3_,"[250, 500, 750, 1000, 1248, 1496]",500,"[185, 218, 196, 210, 192, 211]",1.1783783783783783,"[185, 218, 196, 210, 192, 211]",1.1783783783783783
neg_5_power_3_,"[250, 500, 750, 1000, 1248, 1496]",1000,"[691, 749, 717, 733, 721, 762]",1.1027496382054993,"[691, 749, 717, 733, 721, 762]",1.1027496382054993
neg_5_power_3_,"[250, 500, 750, 1000, 1248, 1496]",1500,"[1506, 1565, 1523, 1503, 1552, 1578]",1.0499001996007984,"[1506, 1565, 1523, 1503, 1552, 1578]",1.0499001996007984
neg_5_power_3_,"[250, 500, 750, 1000, 1248, 1496]",2000,"[2593, 2654, 2586, 2600, 2611, 2680]",1.0363495746326372,"[2593, 2654, 2586, 2600, 2611, 2680]",1.0363495746326372
neg_5_power_3_,"[250, 500, 750, 1000, 1248, 1496]",2500,"[3924, 3980, 3925, 3959, 3934, 3966]",1.0142711518858307,"[3924, 3980, 3925, 3959, 3934, 3966]",1.0142711518858307
neg_5_power_3_,"[250, 500, 750, 1000, 1248, 1496]",3000,"[5488, 5607, 5573, 5581, 5537, 5598]",1.0216836734693877,"[5488, 5607, 5573, 5581, 5537, 5598]",1.0216836734693877
neg_5_power_3_,"[250, 500, 750, 1000, 1248, 1496]",3500,"[7326, 7460, 7392, 7452, 7414, 7451]",1.0182910182910183,"[7326, 7460, 7392, 7452, 7414, 7451]",1.0182910182910183
neg_5_power_3_,"[250, 500, 750, 1000, 1248, 1496]",4000,"[9401, 9627, 9493, 9510, 9495, 9570]",1.0240399957451336,"[9401, 9627, 9493, 9510, 9495, 9570]",1.0240399957451336
